update,split,loss,ppl,lr,tps,gnorm,scale,tokens_seen,utc
81,train,9.387316009114862,,1.6400000000000002e-05,11958.655073596856,1.8891693353652954,1.0,2985984,2025-09-10T13:30:52.918653+00:00Z
82,train,9.372288388649237,,1.66e-05,11960.002722705412,2.0342354774475098,1.0,3022848,2025-09-10T13:30:56.001544+00:00Z
83,train,9.361638119196545,,1.68e-05,11959.712687354124,1.8646047115325928,1.0,3059712,2025-09-10T13:30:59.086197+00:00Z
84,train,9.353228363730596,,1.7000000000000003e-05,11956.425736185145,1.8142077922821045,1.0,3096576,2025-09-10T13:31:02.173790+00:00Z
85,train,9.331302386526543,,1.72e-05,11947.320579962874,2.0318570137023926,1.0,3133440,2025-09-10T13:31:05.269771+00:00Z
86,train,9.317904372815143,,1.74e-05,11895.841043860213,1.8707889318466187,1.0,3170304,2025-09-10T13:31:08.425263+00:00Z
87,train,9.3025955973302,,1.76e-05,11904.624731529775,1.8666576147079468,1.0,3207168,2025-09-10T13:31:11.514766+00:00Z
88,train,9.287738843402385,,1.78e-05,11914.05294173687,1.8237113952636719,1.0,3244032,2025-09-10T13:31:14.600165+00:00Z
89,train,9.273504904187726,,1.8e-05,11922.036452774428,1.9114108085632324,1.0,3280896,2025-09-10T13:31:17.685998+00:00Z
90,train,9.257527456829257,,1.8200000000000002e-05,11930.084818106228,1.8944703340530396,1.0,3317760,2025-09-10T13:31:20.769708+00:00Z
91,train,9.24956914140222,,1.84e-05,11936.638460087559,1.774114727973938,1.0,3354624,2025-09-10T13:31:23.853255+00:00Z
92,train,9.237038651288488,,1.8599999999999998e-05,11941.43181842371,1.8293606042861938,1.0,3391488,2025-09-10T13:31:26.936382+00:00Z
93,train,9.223505615455752,,1.88e-05,11944.195212844757,1.8192641735076904,1.0,3428352,2025-09-10T13:31:30.020919+00:00Z
94,train,9.200428342160146,,1.9e-05,11947.763702347533,1.9244699478149414,1.0,3465216,2025-09-10T13:31:33.104676+00:00Z
95,train,9.19150693595698,,1.92e-05,11949.593546426735,1.728015661239624,1.0,3502080,2025-09-10T13:31:36.189761+00:00Z
96,train,9.18048532647154,,1.94e-05,11950.809087407923,1.7090331315994263,1.0,3538944,2025-09-10T13:31:39.275154+00:00Z
97,train,9.174272881528092,,1.96e-05,11951.039413574199,1.6360121965408325,1.0,3575808,2025-09-10T13:31:42.361505+00:00Z
98,train,9.147268605155068,,1.9800000000000004e-05,11949.741395964184,1.9710638523101807,1.0,3612672,2025-09-10T13:31:45.448770+00:00Z
99,train,9.137137036254094,,2e-05,11950.202814283737,1.6302176713943481,1.0,3649536,2025-09-10T13:31:48.534099+00:00Z
100,train,9.122625274118857,,2.02e-05,11951.370090540871,1.7376412153244019,1.0,3686400,2025-09-10T13:31:51.620436+00:00Z
101,train,9.116661992064484,,2.04e-05,11952.292077858474,1.5907243490219116,1.0,3723264,2025-09-10T13:31:54.704749+00:00Z
102,train,9.107762437812717,,2.06e-05,11952.370124831741,1.6314361095428467,1.0,3760128,2025-09-10T13:31:57.789916+00:00Z
103,train,9.096637149231642,,2.08e-05,11953.919266187455,1.6718682050704956,1.0,3796992,2025-09-10T13:32:00.873164+00:00Z
104,train,9.080785768845983,,2.1000000000000002e-05,11953.0474198066,1.7045865058898926,1.0,3833856,2025-09-10T13:32:03.959634+00:00Z
105,train,9.057565537946797,,2.12e-05,11953.097665330068,1.8905704021453857,1.0,3870720,2025-09-10T13:32:07.045809+00:00Z
106,train,9.046939654222765,,2.14e-05,11952.597946874548,1.6696298122406006,1.0,3907584,2025-09-10T13:32:10.131516+00:00Z
107,train,9.032698765163099,,2.1600000000000003e-05,11951.79108757712,1.7196158170700073,1.0,3944448,2025-09-10T13:32:13.217745+00:00Z
108,train,9.01921148428125,,2.18e-05,11952.057854354834,1.5474960803985596,1.0,3981312,2025-09-10T13:32:16.303807+00:00Z
109,train,8.988376206119085,,2.2e-05,11952.195497191735,1.894937515258789,1.0,4018176,2025-09-10T13:32:19.388955+00:00Z
110,train,8.978578614556096,,2.22e-05,11952.411506808723,1.5276398658752441,1.0,4055040,2025-09-10T13:32:22.475976+00:00Z
111,train,8.967683131125542,,2.24e-05,11954.59200092846,1.4900856018066406,1.0,4091904,2025-09-10T13:32:25.559403+00:00Z
112,train,8.947452832424913,,2.26e-05,11954.799900726553,1.7035349607467651,1.0,4128768,2025-09-10T13:32:28.644813+00:00Z
113,train,8.928968247024066,,2.2800000000000002e-05,11955.555794204192,1.7850466966629028,1.0,4165632,2025-09-10T13:32:31.729466+00:00Z
114,train,8.90530557893024,,2.3e-05,11955.810021609232,1.8799387216567993,1.0,4202496,2025-09-10T13:32:34.814568+00:00Z
115,train,8.897739989718552,,2.3199999999999998e-05,11955.394799001047,1.642838478088379,1.0,4239360,2025-09-10T13:32:37.900463+00:00Z
116,train,8.88057144566842,,2.34e-05,11954.80037450184,1.5758804082870483,1.0,4276224,2025-09-10T13:32:40.986696+00:00Z
117,train,8.868610525886428,,2.36e-05,11952.602536168599,1.477773666381836,1.0,4313088,2025-09-10T13:32:44.074152+00:00Z
118,train,8.850472531998347,,2.3800000000000003e-05,11952.138666165125,1.5139611959457397,1.0,4349952,2025-09-10T13:32:47.160964+00:00Z
119,train,8.83455487693923,,2.4e-05,11950.788563110358,1.5908161401748657,1.0,4386816,2025-09-10T13:32:50.248012+00:00Z
120,train,8.819795458962714,,2.42e-05,11951.425874065135,1.5179498195648193,1.0,4423680,2025-09-10T13:32:53.333851+00:00Z
121,train,8.807066556319768,,2.4400000000000004e-05,11952.391251558327,1.6224784851074219,1.0,4460544,2025-09-10T13:32:56.419099+00:00Z
122,train,8.78781263515816,,2.46e-05,11956.21325742573,1.5941976308822632,1.0,4497408,2025-09-10T13:32:59.499422+00:00Z
123,train,8.769326178599588,,2.48e-05,11957.975010188688,1.6246212720870972,1.0,4534272,2025-09-10T13:33:02.582408+00:00Z
124,train,8.759432537885777,,2.5e-05,11960.685084241792,1.5185600519180298,1.0,4571136,2025-09-10T13:33:05.663721+00:00Z
125,train,8.736616203366761,,2.52e-05,11962.26507215598,1.6046265363693237,1.0,4608000,2025-09-10T13:33:08.745798+00:00Z
126,train,8.715243460994106,,2.54e-05,11960.78250586583,1.5898945331573486,1.0,4644864,2025-09-10T13:33:11.831404+00:00Z
127,train,8.708955242271252,,2.5600000000000002e-05,11960.210734071237,1.479313611984253,1.0,4681728,2025-09-10T13:33:14.916220+00:00Z
128,train,8.687481421859587,,2.58e-05,11958.123999858606,1.6207259893417358,1.0,4718592,2025-09-10T13:33:18.003138+00:00Z
129,train,8.673619728056961,,2.6e-05,11955.326021694063,1.5038169622421265,1.0,4755456,2025-09-10T13:33:21.090513+00:00Z
130,train,8.651866442652082,,2.6200000000000003e-05,11951.587211547805,1.5068117380142212,1.0,4792320,2025-09-10T13:33:24.179826+00:00Z
131,train,8.648390060685458,,2.64e-05,11951.006506805456,1.336253046989441,1.0,4829184,2025-09-10T13:33:27.267025+00:00Z
132,train,8.627697389741881,,2.66e-05,11951.096650324864,1.3858288526535034,1.0,4866048,2025-09-10T13:33:30.352504+00:00Z
133,train,8.610215724784265,,2.68e-05,11953.453849496525,1.417295217514038,1.0,4902912,2025-09-10T13:33:33.436044+00:00Z
134,train,8.583839197109457,,2.7e-05,11954.26051076729,1.556183934211731,1.0,4939776,2025-09-10T13:33:36.519969+00:00Z
135,train,8.575628416970655,,2.72e-05,11956.196727038163,1.3543155193328857,1.0,4976640,2025-09-10T13:33:39.603233+00:00Z
136,train,8.56451102844055,,2.7400000000000002e-05,11957.51539960812,1.342658519744873,1.0,5013504,2025-09-10T13:33:42.686813+00:00Z
137,train,8.553274924318572,,2.76e-05,11956.954298867113,1.2992839813232422,1.0,5050368,2025-09-10T13:33:45.772459+00:00Z
138,train,8.548029900873226,,2.7799999999999998e-05,11957.349052537538,1.1649963855743408,1.0,5087232,2025-09-10T13:33:48.856016+00:00Z
139,train,8.525975037769546,,2.8e-05,11958.391538425289,1.43003249168396,1.0,5124096,2025-09-10T13:33:51.939635+00:00Z
140,train,8.509580370029274,,2.82e-05,11958.040522701524,1.3791275024414062,1.0,5160960,2025-09-10T13:33:55.024788+00:00Z
141,train,8.484659430003582,,2.8400000000000003e-05,11957.693510321049,1.4759447574615479,1.0,5197824,2025-09-10T13:33:58.110072+00:00Z
142,train,8.467164716079608,,2.86e-05,11957.477847048083,1.44449782371521,1.0,5234688,2025-09-10T13:34:01.195232+00:00Z
143,train,8.46251182641516,,2.88e-05,11954.036519965266,1.1490740776062012,1.0,5271552,2025-09-10T13:34:04.284607+00:00Z
144,train,8.448094173245995,,2.9000000000000004e-05,11953.606762392223,1.2790507078170776,1.0,5308416,2025-09-10T13:34:07.370981+00:00Z
